con	fwhm	motion	model	jaccard	spearman	ses1_icc_cohensd	ses2_icc_cohensd
Lgain-Neut	4.8	opt4	AntMod	0.24031209786450783	0.6938327716730791	0.22098009153122783	0.22546837470620032
Lgain-Neut	4.8	opt4	FixMod	0.22182240278583867	0.6802582570830046	0.22870688434098332	0.23505218519842416
Lgain-Neut	6.0	opt1	CueMod	0.24850995209713375	0.6370038097532706	0.2318255548986906	0.2074200834390238
Lgain-Neut	6.0	opt1	AntMod	0.27974285633372037	0.6980621735506236	0.29781923865187576	0.30647912347998457
Lgain-Neut	6.0	opt1	FixMod	0.2803962596493717	0.7145516270728401	0.3290140484759179	0.3558929278867572
Lgain-Neut	6.0	opt2	CueMod	0.283561659999764	0.6681802258218089	0.2242519094081148	0.22751297903520154
Lgain-Neut	6.0	opt2	AntMod	0.2935531411728416	0.7002339331166947	0.27602885048529563	0.26693284072930484
Lgain-Neut	6.0	opt2	FixMod	0.28973241200204053	0.7112131616127629	0.2880189186753155	0.28345494679491257
Lgain-Neut	6.0	opt3	CueMod	0.2998833771798975	0.7349839229596833	0.25777293486181757	0.2570519189839391
Lgain-Neut	6.0	opt3	AntMod	0.29096699871247544	0.755133716902173	0.2723398435415616	0.28201161668205493
Lgain-Neut	6.0	opt3	FixMod	0.26197444216380855	0.7420970150511381	0.270317633984315	0.283720261634189
Lgain-Neut	6.0	opt4	CueMod	0.30002671653753676	0.7337134106117346	0.22846464048789927	0.24488974551254283
Lgain-Neut	6.0	opt4	AntMod	0.29693049046141656	0.7546348737723015	0.23269941329959132	0.2617666467897308
Lgain-Neut	6.0	opt4	FixMod	0.2657810305505805	0.7413331302561866	0.24167477003001633	0.26964120893977717
Lgain-Neut	7.2	opt1	CueMod	0.27453275854945114	0.668839654637713	0.22278392616712742	0.20429175036286512
Lgain-Neut	7.2	opt1	AntMod	0.3159921758252439	0.7260697306898285	0.3127493421678047	0.32513616438603166
