con	motion	model	fwhm	avg_left	avg_right
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-5.0	0.034	0.071
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-6.0	0.048	0.083
contrast-Sgain-Neut	mot-opt1	mod-AntMod	fwhm-7.0	0.062	0.097
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-3.0	0.016	0.044
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-4.0	0.032	0.053
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-5.0	0.052	0.063
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-6.0	0.074	0.076
contrast-Sgain-Neut	mot-opt1	mod-CueMod	fwhm-7.0	0.096	0.092
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-3.0	-0.004	0.062
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-4.0	0.002	0.069
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-5.0	0.008	0.077
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-6.0	0.013	0.087
contrast-Sgain-Neut	mot-opt1	mod-FixMod	fwhm-7.0	0.018	0.099
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-3.0	0.07	0.069
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-4.0	0.087	0.076
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-5.0	0.106	0.086
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-6.0	0.126	0.102
contrast-Sgain-Neut	mot-opt2	mod-AntMod	fwhm-7.0	0.147	0.124
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-3.0	0.059	0.054
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-4.0	0.072	0.06
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-5.0	0.09	0.07
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-6.0	0.11	0.084
contrast-Sgain-Neut	mot-opt2	mod-CueMod	fwhm-7.0	0.131	0.105
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-3.0	0.06	0.072
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-4.0	0.075	0.077
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-5.0	0.09	0.085
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-6.0	0.105	0.099
contrast-Sgain-Neut	mot-opt2	mod-FixMod	fwhm-7.0	0.119	0.118
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-3.0	0.021	-0.005
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-4.0	0.021	-0.006
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-5.0	0.02	-0.006
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.017	-0.006
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-7.0	0.014	-0.005
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-3.0	0.026	-0.017
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-4.0	0.025	-0.021
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-5.0	0.023	-0.024
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.019	-0.028
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-7.0	0.015	-0.03
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-3.0	0.005	0.01
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-4.0	0.005	0.009
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-5.0	0.004	0.01
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.002	0.012
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-7.0	-0.0	0.014
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-3.0	0.025	-0.017
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-4.0	0.024	-0.018
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-5.0	0.024	-0.017
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.023	-0.017
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-7.0	0.021	-0.016
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-3.0	0.031	-0.034
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-4.0	0.029	-0.037
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-5.0	0.026	-0.04
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.023	-0.042
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-7.0	0.02	-0.042
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-3.0	0.006	-0.008
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-4.0	0.006	-0.011
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-5.0	0.005	-0.012
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.005	-0.012
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-7.0	0.005	-0.012
