con	motion	model	fwhm	avg_left	avg_right
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-5.0	0.042	0.039
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-6.0	0.033	0.031
contrast-Sgain-Neut	mot-opt3	mod-AntMod	fwhm-7.0	0.027	0.025
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-3.0	0.21	0.204
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-4.0	0.158	0.153
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-5.0	0.123	0.117
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.098	0.093
contrast-Sgain-Neut	mot-opt3	mod-CueMod	fwhm-7.0	0.081	0.077
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-3.0	0.372	0.339
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-4.0	0.278	0.25
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-5.0	0.211	0.187
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.165	0.145
contrast-Sgain-Neut	mot-opt3	mod-FixMod	fwhm-7.0	0.134	0.117
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-3.0	0.072	0.074
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-4.0	0.054	0.055
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-5.0	0.042	0.042
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.033	0.033
contrast-Sgain-Neut	mot-opt4	mod-AntMod	fwhm-7.0	0.027	0.027
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-3.0	0.208	0.221
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-4.0	0.158	0.166
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-5.0	0.123	0.128
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.098	0.101
contrast-Sgain-Neut	mot-opt4	mod-CueMod	fwhm-7.0	0.081	0.083
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-3.0	0.37	0.363
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-4.0	0.276	0.268
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-5.0	0.21	0.201
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.165	0.156
contrast-Sgain-Neut	mot-opt4	mod-FixMod	fwhm-7.0	0.134	0.126
