subject	model	motion	con	eff_est
sub-89	CueMod	opt3	Lgain-Neut	1.0399412703305586
sub-89	CueMod	opt4	Lgain-Neut	0.9796066468108944
sub-89	FixMod	opt1	Lgain-Neut	0.7287104121020267
sub-89	FixMod	opt2	Lgain-Neut	0.6541274258067282
sub-89	FixMod	opt3	Lgain-Neut	0.6108066881262584
sub-89	FixMod	opt4	Lgain-Neut	0.5616526225178441
sub-17	AntMod	opt1	Lgain-Neut	3.5055223104227817
sub-17	AntMod	opt2	Lgain-Neut	3.161589743171831
sub-17	AntMod	opt3	Lgain-Neut	2.8754521135681594
sub-17	AntMod	opt4	Lgain-Neut	2.838137466264538
sub-17	CueMod	opt1	Lgain-Neut	1.1833608402387412
sub-17	CueMod	opt2	Lgain-Neut	1.057529150258158
sub-17	CueMod	opt3	Lgain-Neut	0.9729743125118775
sub-17	CueMod	opt4	Lgain-Neut	0.960513405271661
sub-17	FixMod	opt1	Lgain-Neut	0.7029125518833417
sub-17	FixMod	opt2	Lgain-Neut	0.6422925986857291
sub-17	FixMod	opt3	Lgain-Neut	0.5802868791013394
sub-17	FixMod	opt4	Lgain-Neut	0.5720241336298384
sub-110	AntMod	opt1	Lgain-Neut	3.8643814780558423
sub-110	AntMod	opt2	Lgain-Neut	3.2224676049199106
sub-110	AntMod	opt3	Lgain-Neut	2.6643896736091386
sub-110	AntMod	opt4	Lgain-Neut	2.6643896736091386
sub-110	CueMod	opt1	Lgain-Neut	1.3334264232980515
sub-110	CueMod	opt2	Lgain-Neut	1.1033503135645981
sub-110	CueMod	opt3	Lgain-Neut	0.9331869639709627
sub-110	CueMod	opt4	Lgain-Neut	0.9331869639709627
sub-110	FixMod	opt1	Lgain-Neut	0.752038735503519
sub-110	FixMod	opt2	Lgain-Neut	0.6415077193686061
sub-110	FixMod	opt3	Lgain-Neut	0.5158116636099666
sub-110	FixMod	opt4	Lgain-Neut	0.5158116636099666
sub-88	AntMod	opt1	Lgain-Neut	3.7446218304507135
sub-88	AntMod	opt2	Lgain-Neut	3.2531910406949383
sub-88	AntMod	opt3	Lgain-Neut	2.921391287564874
sub-88	AntMod	opt4	Lgain-Neut	2.921390571637462
sub-88	CueMod	opt1	Lgain-Neut	1.2979411322833483
sub-88	CueMod	opt2	Lgain-Neut	1.1208263658270117
sub-88	CueMod	opt3	Lgain-Neut	1.0133333110073592
sub-88	CueMod	opt4	Lgain-Neut	1.0128693742210904
sub-88	FixMod	opt1	Lgain-Neut	0.7225594008593474
sub-88	FixMod	opt2	Lgain-Neut	0.6394188558156596
sub-88	FixMod	opt3	Lgain-Neut	0.5743452231554487
sub-88	FixMod	opt4	Lgain-Neut	0.5742961080810545
sub-162	AntMod	opt1	Lgain-Neut	3.798861264888921
sub-162	AntMod	opt2	Lgain-Neut	3.2460472064120225
sub-162	AntMod	opt3	Lgain-Neut	2.8560088798797483
sub-162	AntMod	opt4	Lgain-Neut	2.8560088798797483
sub-162	CueMod	opt1	Lgain-Neut	1.309750910335362
sub-162	CueMod	opt2	Lgain-Neut	1.105985452555641
sub-162	CueMod	opt3	Lgain-Neut	0.9563023832298264
sub-162	CueMod	opt4	Lgain-Neut	0.9563023832298264
sub-162	FixMod	opt1	Lgain-Neut	0.7387793507831375
sub-162	FixMod	opt2	Lgain-Neut	0.6381546139740142
sub-162	FixMod	opt3	Lgain-Neut	0.5784324987210951
sub-162	FixMod	opt4	Lgain-Neut	0.5784324987210951
sub-91	AntMod	opt1	Lgain-Neut	3.630080169849009
sub-91	AntMod	opt2	Lgain-Neut	3.024255422781293
sub-91	AntMod	opt3	Lgain-Neut	2.6587692586781975
sub-91	AntMod	opt4	Lgain-Neut	2.3436287850570494
sub-91	CueMod	opt1	Lgain-Neut	1.2503096169563448
sub-91	CueMod	opt2	Lgain-Neut	1.0170583505231552
sub-91	CueMod	opt3	Lgain-Neut	0.8932273047104531
sub-91	CueMod	opt4	Lgain-Neut	0.7776215044173844
