con	fwhm	motion	model	jaccard	spearman	ses1_icc_cohensd	ses2_icc_cohensd
Lgain-Neut	6.0	opt1	FixMod	0.6781657669815564	0.8219480815098202	0.39056795050730414	0.3067345967545076
Lgain-Neut	6.0	opt2	CueMod	0.6133295407303677	0.8656816916734488	0.37730224514038857	0.32565771839346713
Lgain-Neut	6.0	opt2	AntMod	0.6655474554509166	0.8599456086753353	0.38654070655864164	0.32857961671783575
Lgain-Neut	6.0	opt2	FixMod	0.6969819833868738	0.8522992336314157	0.39368189552206917	0.33118126595464226
Lgain-Neut	6.0	opt3	CueMod	0.4858254797970163	0.9086594892760915	0.23235522684364054	0.2307594547925702
Lgain-Neut	6.0	opt3	AntMod	0.4815658886234148	0.910806312160991	0.2776646321719117	0.26294473656119505
Lgain-Neut	6.0	opt3	FixMod	0.4754730879180625	0.9115328709892293	0.27884085800225616	0.26037529034937273
Lgain-Neut	6.0	opt4	CueMod	0.49162626282137956	0.9071930860379716	0.23881462800307912	0.24001160953446518
Lgain-Neut	6.0	opt4	AntMod	0.4857631720880062	0.9091445648958923	0.2785006458786283	0.2680846898354805
Lgain-Neut	6.0	opt4	FixMod	0.4785762784547762	0.9097516212895	0.2799647518211218	0.26511794332920685
Lgain-Neut	7.0	opt1	CueMod	0.6199038240478197	0.851573436579486	0.3955390041048014	0.32572042558744385
Lgain-Neut	7.0	opt1	AntMod	0.6745292663432405	0.8358833074390245	0.39234606741361033	0.3114781613232107
Lgain-Neut	7.0	opt1	FixMod	0.722820745965705	0.8217702176981754	0.3802104090914573	0.2854978329867053
Lgain-Neut	7.0	opt2	CueMod	0.6626235209296408	0.8713267524759614	0.3753857906834518	0.32026398340320356
Lgain-Neut	7.0	opt2	AntMod	0.7107591480065538	0.8633000898711665	0.37907034003441537	0.3165024829982744
Lgain-Neut	7.0	opt2	FixMod	0.7410372818840982	0.8544758088674271	0.38639904185574625	0.31562887203438095
Lgain-Neut	7.0	opt3	CueMod	0.5143245503973234	0.9262054791759414	0.24570764177582366	0.23964335454477836
