con	fwhm	motion	model	jaccard	spearman	ses1_icc_cohensd	ses2_icc_cohensd
Lgain-Neut	7.2	opt4	CueMod	0.40727647665341	0.8092297728440054	0.2161674421204001	0.1828294168772568
Lgain-Neut	7.2	opt4	AntMod	0.4227366431884556	0.8236922737346215	0.18919456102196808	0.1621951583222322
Lgain-Neut	7.2	opt4	FixMod	0.3980004128940926	0.8028472198668029	0.11449719983310876	0.12068771024328757
Lgain-Neut	8.4	opt1	CueMod	0.2560939764653416	0.5964883546102612	0.07685964572796418	0.03592301700061146
Lgain-Neut	8.4	opt1	AntMod	0.2773989042724232	0.5484984837733419	0.13467110449549125	0.17370008724326202
Lgain-Neut	8.4	opt1	FixMod	0.28830791575889614	0.5422287902188935	0.0918728402891185	0.25801461990855123
Lgain-Neut	8.4	opt2	CueMod	0.4004003387481715	0.7613599003110477	0.19646927943238304	0.18727453923174028
Lgain-Neut	8.4	opt2	AntMod	0.45808043489734523	0.7804246182426382	0.1824417522782806	0.23658217103976978
Lgain-Neut	8.4	opt2	FixMod	0.47666790133532555	0.757697603169143	0.10196607863948749	0.1915036015951874
Lgain-Neut	8.4	opt3	CueMod	0.38283216163525724	0.8028305832334919	0.2097116904427867	0.16050935141097508
Lgain-Neut	8.4	opt3	AntMod	0.3916622493841789	0.8163051709734764	0.1836190493975003	0.18198620738552154
Lgain-Neut	8.4	opt3	FixMod	0.3334983997725751	0.7934671059920874	0.07592353217271564	0.1260735225459265
Lgain-Neut	8.4	opt4	CueMod	0.4327279807037089	0.8271235490617532	0.220759142026429	0.18624722922155343
Lgain-Neut	8.4	opt4	AntMod	0.45404721753794264	0.8418838362838061	0.18654578929457655	0.1634404757748594
Lgain-Neut	8.4	opt4	FixMod	0.4426746485648618	0.8224037622693284	0.09062169494630366	0.10791154794808176
Sgain-Neut	3.6	opt1	CueMod	0.062081286288521664	0.40122530328882944	0.09259335665303231	0.08668242692791657
Sgain-Neut	3.6	opt1	AntMod	0.0571136131013306	0.44009670361130676	0.16239297878146752	0.10762557175351273
