subject	model	motion	con	eff_est
sub-93	AntMod	opt1	Lgain-Neut	10.248573850337126
sub-93	AntMod	opt2	Lgain-Neut	9.219452781784263
sub-93	AntMod	opt3	Lgain-Neut	8.788491737886055
sub-93	AntMod	opt4	Lgain-Neut	8.569114483907999
sub-93	CueMod	opt1	Lgain-Neut	3.0860207878978256
sub-93	CueMod	opt2	Lgain-Neut	2.7860704722674634
sub-93	CueMod	opt3	Lgain-Neut	2.678866706716519
sub-93	CueMod	opt4	Lgain-Neut	2.6021323447723885
sub-93	FixMod	opt1	Lgain-Neut	3.000919055530363
sub-93	FixMod	opt2	Lgain-Neut	2.7371223965950806
sub-93	FixMod	opt3	Lgain-Neut	2.5908940530991806
sub-93	FixMod	opt4	Lgain-Neut	2.550845642479823
sub-73	AntMod	opt1	Lgain-Neut	11.0841261769394
sub-73	AntMod	opt2	Lgain-Neut	10.350584273902719
sub-73	AntMod	opt3	Lgain-Neut	9.921105169564889
sub-73	AntMod	opt4	Lgain-Neut	9.808501710644085
sub-73	CueMod	opt1	Lgain-Neut	3.2486315667876093
sub-73	CueMod	opt2	Lgain-Neut	3.008036207902358
sub-73	CueMod	opt3	Lgain-Neut	2.8773193515138553
sub-73	CueMod	opt4	Lgain-Neut	2.8486752074681236
sub-73	FixMod	opt1	Lgain-Neut	3.151412117241651
sub-73	FixMod	opt2	Lgain-Neut	2.9909737654976993
sub-73	FixMod	opt3	Lgain-Neut	2.8712188454594876
sub-73	FixMod	opt4	Lgain-Neut	2.8457134693880772
sub-36	AntMod	opt1	Lgain-Neut	10.673019519695211
sub-36	AntMod	opt2	Lgain-Neut	9.891668576858835
sub-36	AntMod	opt3	Lgain-Neut	9.517142862044011
sub-36	AntMod	opt4	Lgain-Neut	8.948813740357522
sub-36	CueMod	opt1	Lgain-Neut	3.1036236556224166
sub-36	CueMod	opt2	Lgain-Neut	2.9241552136127478
sub-36	CueMod	opt3	Lgain-Neut	2.823023822535751
sub-36	CueMod	opt4	Lgain-Neut	2.7143582934630244
sub-36	FixMod	opt1	Lgain-Neut	3.2535768835124013
sub-36	FixMod	opt2	Lgain-Neut	3.0209663136509755
sub-36	FixMod	opt3	Lgain-Neut	2.929203588106703
sub-36	FixMod	opt4	Lgain-Neut	2.6966257934874305
sub-32	AntMod	opt1	Lgain-Neut	11.30648285343738
sub-32	AntMod	opt2	Lgain-Neut	10.89275719512489
sub-32	AntMod	opt3	Lgain-Neut	10.721873554440297
sub-32	AntMod	opt4	Lgain-Neut	10.618370406537103
sub-32	CueMod	opt1	Lgain-Neut	3.3069156329478737
sub-32	CueMod	opt2	Lgain-Neut	3.144365984713051
sub-32	CueMod	opt3	Lgain-Neut	3.0798659283814014
sub-32	CueMod	opt4	Lgain-Neut	3.0528228729272744
sub-32	FixMod	opt1	Lgain-Neut	3.2336416895017916
sub-32	FixMod	opt2	Lgain-Neut	3.1200875192124036
sub-32	FixMod	opt3	Lgain-Neut	3.07223572070972
sub-32	FixMod	opt4	Lgain-Neut	3.0437773739325955
sub-20	AntMod	opt1	Lgain-Neut	10.445283989450013
sub-20	AntMod	opt2	Lgain-Neut	9.557231554158495
sub-20	AntMod	opt3	Lgain-Neut	8.992413157595202
sub-20	AntMod	opt4	Lgain-Neut	8.543768926733767
sub-20	CueMod	opt1	Lgain-Neut	3.0195429429692613
sub-20	CueMod	opt2	Lgain-Neut	2.665498875956518
sub-20	CueMod	opt3	Lgain-Neut	2.506012037053307
sub-20	CueMod	opt4	Lgain-Neut	2.354170009481453
sub-20	FixMod	opt1	Lgain-Neut	3.1929928797088563
sub-20	FixMod	opt2	Lgain-Neut	3.0167460831516273
sub-20	FixMod	opt3	Lgain-Neut	2.8389628121889707
sub-20	FixMod	opt4	Lgain-Neut	2.699758630041987
sub-77	AntMod	opt1	Lgain-Neut	9.296004034511174
sub-77	AntMod	opt2	Lgain-Neut	8.090587732689428
sub-77	AntMod	opt3	Lgain-Neut	7.802001115031395
sub-77	AntMod	opt4	Lgain-Neut	7.626952973341957
sub-77	CueMod	opt1	Lgain-Neut	2.5471890762566227
sub-77	CueMod	opt2	Lgain-Neut	2.215054573012552
sub-77	CueMod	opt3	Lgain-Neut	2.1121594259314778
sub-77	CueMod	opt4	Lgain-Neut	2.0556569593373393
sub-77	FixMod	opt1	Lgain-Neut	3.0005645599745367
sub-77	FixMod	opt2	Lgain-Neut	2.6786513285645244
sub-77	FixMod	opt3	Lgain-Neut	2.597061816929449
sub-77	FixMod	opt4	Lgain-Neut	2.568203810274675
sub-80	AntMod	opt1	Lgain-Neut	9.377602735356604
sub-80	AntMod	opt2	Lgain-Neut	8.80511333301095
sub-80	AntMod	opt3	Lgain-Neut	8.350433028761973
sub-80	AntMod	opt4	Lgain-Neut	7.585799357278307
sub-80	CueMod	opt1	Lgain-Neut	2.8254668989774343
sub-80	CueMod	opt2	Lgain-Neut	2.6620052470386373
sub-80	CueMod	opt3	Lgain-Neut	2.5362105072965218
sub-80	CueMod	opt4	Lgain-Neut	2.292219056405727
sub-80	FixMod	opt1	Lgain-Neut	2.805355890804792
sub-80	FixMod	opt2	Lgain-Neut	2.652013694040185
sub-80	FixMod	opt3	Lgain-Neut	2.5126857236004323
sub-80	FixMod	opt4	Lgain-Neut	2.3475706653865114
sub-97	AntMod	opt1	Lgain-Neut	10.40176717923747
sub-97	AntMod	opt2	Lgain-Neut	10.065023386831697
sub-97	AntMod	opt3	Lgain-Neut	9.666142188201137
sub-97	AntMod	opt4	Lgain-Neut	9.173496713974298
sub-97	CueMod	opt1	Lgain-Neut	3.1142262208661142
sub-97	CueMod	opt2	Lgain-Neut	3.0290374649859424
sub-97	CueMod	opt3	Lgain-Neut	2.892321443705319
sub-97	CueMod	opt4	Lgain-Neut	2.7014331475366076
sub-97	FixMod	opt1	Lgain-Neut	3.0127979436721626
sub-97	FixMod	opt2	Lgain-Neut	2.8902244573208193
sub-97	FixMod	opt3	Lgain-Neut	2.7221245214498535
sub-97	FixMod	opt4	Lgain-Neut	2.614836767305059
