con	motion	model	fwhm	avg_left	avg_right
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-7.2	0.114	0.008
contrast-Lgain-Neut	mot-opt3	mod-AntMod	fwhm-8.4	0.08	0.041
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-3.6	0.092	-0.028
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-4.8	0.106	-0.048
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-6.0	0.103	-0.049
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-7.2	0.086	-0.029
contrast-Lgain-Neut	mot-opt3	mod-CueMod	fwhm-8.4	0.061	0.003
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-3.6	0.118	-0.009
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-4.8	0.152	-0.013
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-6.0	0.16	-0.008
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-7.2	0.145	0.004
contrast-Lgain-Neut	mot-opt3	mod-FixMod	fwhm-8.4	0.116	0.018
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-3.6	0.12	-0.014
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-4.8	0.15	-0.013
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-6.0	0.157	0.007
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-7.2	0.143	0.038
contrast-Lgain-Neut	mot-opt4	mod-AntMod	fwhm-8.4	0.116	0.072
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-3.6	0.094	-0.007
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-4.8	0.114	-0.018
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-6.0	0.115	-0.009
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-7.2	0.103	0.018
contrast-Lgain-Neut	mot-opt4	mod-CueMod	fwhm-8.4	0.082	0.05
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-3.6	0.117	-0.01
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-4.8	0.158	-0.012
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-6.0	0.175	-0.002
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-7.2	0.169	0.013
contrast-Lgain-Neut	mot-opt4	mod-FixMod	fwhm-8.4	0.147	0.029
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-3.6	0.208	0.148
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-4.8	0.254	0.178
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-6.0	0.27	0.182
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-7.2	0.265	0.178
contrast-Sgain-Base	mot-opt1	mod-AntMod	fwhm-8.4	0.249	0.17
contrast-Sgain-Base	mot-opt1	mod-CueMod	fwhm-3.6	0.254	0.27
