path,DLH,RESEL
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-FixMod_fwhm-4.0_stat-residuals.nii.gz,0.155525,29.8216
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0616273,75.2587
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt2_mod-AntMod_fwhm-7.0_stat-residuals.nii.gz,0.0313004,148.177
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-CueMod_fwhm-7.0_stat-residuals.nii.gz,0.0500128,92.736
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt3_mod-FixMod_fwhm-7.0_stat-residuals.nii.gz,0.0375988,123.355
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt2_mod-AntMod_fwhm-7.0_stat-residuals.nii.gz,0.0292236,158.707
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt2_mod-AntMod_fwhm-5.0_stat-residuals.nii.gz,0.0822193,56.4099
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt3_mod-CueMod_fwhm-4.0_stat-residuals.nii.gz,0.20403,22.7318
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-CueMod_fwhm-7.0_stat-residuals.nii.gz,0.033993,136.44
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Neut_mask-mni152_mot-opt1_mod-AntMod_fwhm-4.0_stat-residuals.nii.gz,0.134502,34.4826
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt1_mod-CueMod_fwhm-3.0_stat-residuals.nii.gz,0.188219,24.6414
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Neut_mask-mni152_mot-opt2_mod-CueMod_fwhm-4.0_stat-residuals.nii.gz,0.165807,27.9722
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt2_mod-FixMod_fwhm-6.0_stat-residuals.nii.gz,0.0426057,108.858
subs-90_ses-1_task-reward_ses-1_contrast-Sgain-Base_mask-mni152_mot-opt3_mod-FixMod_fwhm-5.0_stat-residuals.nii.gz,0.099534,46.597
subs-90_ses-1_task-reward_ses-1_contrast-Lgain-Base_mask-mni152_mot-opt4_mod-CueMod_fwhm-5.0_stat-residuals.nii.gz,0.103371,44.8673
