con	fwhm	motion	model	jaccard	spearman	run1_icc_cohensd	run2_icc_cohensd
Sgain-Neut	4.8	opt4	CueMod	0.07311685442898166	0.369101867570875	-0.023071114951703477	0.0050067425191237
Sgain-Neut	4.8	opt4	AntMod	0.049288867091711625	0.34970277845079223	-0.005872597294333757	-0.011923420176953152
Sgain-Neut	4.8	opt4	FixMod	0.030467899891186073	0.2975413819934158	0.004718425400721903	-0.01184103997811598
Sgain-Neut	6.0	opt1	CueMod	0.07250705160112826	0.43203946074829624	-0.07056861503600916	-0.013237168382753501
Sgain-Neut	6.0	opt1	AntMod	0.03777335984095428	0.4240214806975281	-0.02095351511856785	0.10553267175427107
Sgain-Neut	6.0	opt1	FixMod	0.024919518302134253	0.4034271337614216	0.05335750856727329	0.16495756574720627
Sgain-Neut	6.0	opt2	CueMod	0.07341102967679923	0.3749982946231257	-0.0735355312039891	0.00018907902683872732
Sgain-Neut	6.0	opt2	AntMod	0.03756942175759556	0.38637751082277405	-0.012419346672904058	0.016811703348738587
Sgain-Neut	6.0	opt2	FixMod	0.017905475744326462	0.37983815656315306	0.05377186296900216	0.021956012632201163
Sgain-Neut	6.0	opt3	CueMod	0.08678955453149002	0.42691196623021216	-0.06367862829751617	-0.028376796594147085
Sgain-Neut	6.0	opt3	AntMod	0.05117336917192185	0.401992322956885	-0.023985103379484098	-0.03122058044780175
Sgain-Neut	6.0	opt3	FixMod	0.030340177750536317	0.3618346560900683	-0.001356921933397921	-0.016267856009327973
Sgain-Neut	6.0	opt4	CueMod	0.08652942683864354	0.43905922381613144	-0.050840583287164266	-0.00925025833769581
Sgain-Neut	6.0	opt4	AntMod	0.056853725850965965	0.42005522941577217	-0.017167414511681234	-0.01860937960548549
Sgain-Neut	6.0	opt4	FixMod	0.03775068816358632	0.3690456552840566	-0.0026486271031515595	-0.013753635366057384
Sgain-Neut	7.2	opt1	CueMod	0.08293436293436293	0.46382722828340367	-0.10163551102081764	-0.03476563744783737
Sgain-Neut	7.2	opt1	AntMod	0.03600598182445646	0.46772178720366797	-0.037734244299032896	0.1289627459020545
Sgain-Neut	7.2	opt1	FixMod	0.025341497880357985	0.4598306541240738	0.052679893059466444	0.2059356820125881
Sgain-Neut	7.2	opt2	CueMod	0.08715496631167138	0.4093228958180604	-0.1169686043184783	-0.019030550516044683
Sgain-Neut	7.2	opt2	AntMod	0.03952495824828354	0.4268988267851295	-0.03351417290266505	0.009928803841681471
Sgain-Neut	7.2	opt2	FixMod	0.017064846416382253	0.43865128174514156	0.05941201476195278	0.020486683370586175
Sgain-Neut	7.2	opt3	CueMod	0.09273262755711216	0.4849206100478109	-0.09490061545358093	-0.055277325289298296
Sgain-Neut	7.2	opt3	AntMod	0.050354961201915134	0.4581194305636226	-0.039035134283820175	-0.04065450002825517
Sgain-Neut	7.2	opt3	FixMod	0.03191148171905067	0.42250530432922123	-0.008961101565976272	-0.013308013960196556
Sgain-Neut	7.2	opt4	CueMod	0.09830941895155562	0.4975355221900409	-0.08228351766407734	-0.030340806517793147
Sgain-Neut	7.2	opt4	AntMod	0.06071833648393195	0.4799933191616123	-0.03408098199878905	-0.02500092763736439
Sgain-Neut	7.2	opt4	FixMod	0.04170827252477149	0.4323863567917076	-0.013566764311482885	-0.011161633479331853
Sgain-Neut	8.4	opt1	CueMod	0.09459248870188562	0.48597405221244944	-0.12531136410576812	-0.05024191345272946
Sgain-Neut	8.4	opt1	AntMod	0.038932589863586574	0.5031360850566533	-0.04760742749772524	0.1539347779718937
Sgain-Neut	8.4	opt1	FixMod	0.028752978554408257	0.506603159774164	0.055506465354510114	0.24326642094277914
Sgain-Neut	8.4	opt2	CueMod	0.10090393104898046	0.4353813206282874	-0.15534132507094678	-0.03257367615231479
Sgain-Neut	8.4	opt2	AntMod	0.03830066431559091	0.45985746740560485	-0.05267545056152367	0.01038211468764338
Sgain-Neut	8.4	opt2	FixMod	0.014136087306819013	0.49095336310535737	0.06710486445515482	0.026473387384127342
Sgain-Neut	8.4	opt3	CueMod	0.09614439216237096	0.5336297468251301	-0.12284699686182447	-0.08101616085766196
Sgain-Neut	8.4	opt3	AntMod	0.04425631495629431	0.5055289206120238	-0.05387235071934829	-0.04705201651648115
Sgain-Neut	8.4	opt3	FixMod	0.02885310548800526	0.4744431300140624	-0.015879036872432674	-0.005718407218875144
Sgain-Neut	8.4	opt4	CueMod	0.10694444444444445	0.5467303137281533	-0.11082109041031159	-0.05017969532986
Sgain-Neut	8.4	opt4	AntMod	0.062194808532510915	0.5310934803250855	-0.052048599170068384	-0.028516640989036585
Sgain-Neut	8.4	opt4	FixMod	0.04161574580304882	0.4868212280693525	-0.025599259942787066	-0.005283814143344036
Lgain-Base	3.6	opt1	CueMod	0.14122448979591837	0.8743961095635336	-0.34431918776352266	-0.3289133352211612
Lgain-Base	3.6	opt1	AntMod	0.25422488356620093	0.8069619605409555	0.07374966657487639	0.04014947481314446
Lgain-Base	3.6	opt1	FixMod	0.3916383566607781	0.8174501392721946	0.4328581270025544	0.4248849700502784
Lgain-Base	3.6	opt2	CueMod	0.16528681253696037	0.8801498437722718	-0.3423142682391997	-0.3129744169355641
Lgain-Base	3.6	opt2	AntMod	0.25506861922421026	0.8063582817483759	0.18458258342095016	0.13442758148970887
Lgain-Base	3.6	opt2	FixMod	0.4337328207833974	0.802723323902749	0.4766342960344816	0.4601078884230122
Lgain-Base	3.6	opt3	CueMod	0.19983711697037562	0.8875663568009162	-0.3342810152006882	-0.29801223529712895
Lgain-Base	3.6	opt3	AntMod	0.2843844399235559	0.8239356623162734	0.12936094548510063	0.09493484417924385
Lgain-Base	3.6	opt3	FixMod	0.3768411272185913	0.7731386012748125	0.43111093889333785	0.4175984387021124
Lgain-Base	3.6	opt4	CueMod	0.21249872357806598	0.8885110719869904	-0.3259010919380444	-0.29296314526865946
Lgain-Base	3.6	opt4	AntMod	0.30011295788284653	0.8294650484305528	0.12159113130172909	0.08329578137010495
Lgain-Base	3.6	opt4	FixMod	0.3777541060228915	0.7711658279489751	0.42983072137007894	0.4116205254737732
Lgain-Base	4.8	opt1	CueMod	0.1595954899453679	0.9040063131344549	-0.3078220164563391	-0.28883389335526266
Lgain-Base	4.8	opt1	AntMod	0.2852360675932621	0.8525590413426227	0.08721478015909884	0.05378610389033933
