con	fwhm	motion	model	jaccard	spearman	run1_icc_cohensd	run2_icc_cohensd
Sgain-Neut	6.0	opt1	CueMod	0.3100534273841534	0.7096011901664292	0.1734429696495343	0.17672108116812027
Sgain-Neut	6.0	opt1	AntMod	0.27864647134272	0.6999439508592349	0.19485590510705925	0.15961976915156253
Sgain-Neut	6.0	opt1	FixMod	0.23710572627589008	0.6585408425117888	0.2478954439375387	0.16649872294011722
Sgain-Neut	6.0	opt2	CueMod	0.31008913078942296	0.6977627328196465	0.23228013989886195	0.27385401036640444
Sgain-Neut	6.0	opt2	AntMod	0.31989117374911963	0.7002046599943368	0.23856504785322727	0.2526202140672787
Sgain-Neut	6.0	opt2	FixMod	0.3127448720903434	0.6826003118764681	0.21742309856367176	0.20473626774905865
Sgain-Neut	6.0	opt3	CueMod	0.26097961721213203	0.6566155445770507	0.09643533951851689	0.11648084998843294
Sgain-Neut	6.0	opt3	AntMod	0.2600233204771728	0.6576040733071881	0.10037711658337958	0.10347138027456053
Sgain-Neut	6.0	opt3	FixMod	0.2243050475493782	0.650587767532701	0.05669744889388371	0.05791889532812282
Sgain-Neut	6.0	opt4	CueMod	0.24229112833763997	0.6503379167901171	0.09142284726054184	0.10834729248319169
Sgain-Neut	6.0	opt4	AntMod	0.23976711362032463	0.6511790696263606	0.09706757344367516	0.10139168465552202
Sgain-Neut	6.0	opt4	FixMod	0.21011115095016134	0.6451139218688008	0.06290899842364953	0.06712022902410815
Sgain-Neut	7.0	opt1	CueMod	0.32830640335128664	0.7437077365768795	0.1556029749138646	0.16339805133033555
Sgain-Neut	7.0	opt1	AntMod	0.30047588360680116	0.7312119694079064	0.17509604394819128	0.14045317438068428
Sgain-Neut	7.0	opt1	FixMod	0.2521587121685092	0.6838179497003612	0.23569208368510933	0.1509806871243605
Sgain-Neut	7.0	opt2	CueMod	0.33075763525581753	0.7263413685485018	0.22263768447942692	0.27100821407693604
Sgain-Neut	7.0	opt2	AntMod	0.3436713967063737	0.7277002628110956	0.23265694966560013	0.24948655346575963
Sgain-Neut	7.0	opt2	FixMod	0.3386694904696648	0.7092327267225148	0.21008977420974975	0.19906152056207344
Sgain-Neut	7.0	opt3	CueMod	0.27550749383418704	0.6907675770699905	0.09203538516138929	0.1132736893613643
Sgain-Neut	7.0	opt3	AntMod	0.2708442383907874	0.6938224025963367	0.09991987824208369	0.10184582107136467
Sgain-Neut	7.0	opt3	FixMod	0.23907703758838852	0.6912306199571268	0.05195756425313613	0.05113023507408044
Sgain-Neut	7.0	opt4	CueMod	0.2567013329427274	0.6837403716836241	0.0866778528383772	0.10558887430023106
Sgain-Neut	7.0	opt4	AntMod	0.25004595757196957	0.6863722742672445	0.09574080921374638	0.10131870829384053
Sgain-Neut	7.0	opt4	FixMod	0.2284855593021551	0.6847638291777309	0.05781982371565723	0.06338362221923416
Lgain-Base	3.0	opt1	CueMod	0.3683185194204311	0.8568225232058987	-0.34598869829753714	-0.33466980803559443
Lgain-Base	3.0	opt1	AntMod	0.22483674848007207	0.8727282818023367	-0.03609452928209851	-0.04766742964909815
Lgain-Base	3.0	opt1	FixMod	0.3810549232116236	0.9031915018293045	0.3371568043961254	0.3138564212417757
Lgain-Base	3.0	opt2	CueMod	0.3510991035244996	0.8405354543869031	-0.33547887149729083	-0.3614987092128373
Lgain-Base	3.0	opt2	AntMod	0.2259764833085552	0.8443743137868742	-0.0684256694514528	-0.09270817970638245
Lgain-Base	3.0	opt2	FixMod	0.4444971133394106	0.9016879593781109	0.33133512097209683	0.3029113464271799
Lgain-Base	3.0	opt3	CueMod	0.3184399375975039	0.8121745424901912	-0.2546433203050551	-0.2854101793743258
Lgain-Base	3.0	opt3	AntMod	0.27053045186640473	0.8297452161854273	-0.080429049330864	-0.10475763412658738
Lgain-Base	3.0	opt3	FixMod	0.45248763906056866	0.8849677596943629	0.12489605020171177	0.1235284915556277
Lgain-Base	3.0	opt4	CueMod	0.3198914307871268	0.8111785024309673	-0.2531090475642354	-0.2860247520132889
Lgain-Base	3.0	opt4	AntMod	0.2506164316007496	0.8223922820794571	-0.06759874070357766	-0.08814367535938536
Lgain-Base	3.0	opt4	FixMod	0.44628629686968996	0.8785178560001826	0.12948258494045206	0.13108508202063737
Lgain-Base	4.0	opt1	CueMod	0.4430960970810102	0.8759138082421261	-0.33975404349572036	-0.32965316614661644
Lgain-Base	4.0	opt1	AntMod	0.22944415682213962	0.898459279654969	-0.05561416714746758	-0.06233817029187808
Lgain-Base	4.0	opt1	FixMod	0.39275092936802974	0.9224903959459229	0.3150463158055267	0.3008570180588681
Lgain-Base	4.0	opt2	CueMod	0.42790178571428567	0.8653314259286674	-0.3309482416331805	-0.36324635323491056
Lgain-Base	4.0	opt2	AntMod	0.23629045782324332	0.8750912159307429	-0.08621378035541603	-0.10312878745135318
Lgain-Base	4.0	opt2	FixMod	0.4595126285061556	0.9225839920024215	0.3038219487070413	0.285493415790243
